"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"DVR_Brale","7 September 2016","Why is Se7en so good? Well, one of the reasons is because it was directed by none other than David Fincher who is well known for his perfectionism. Other reasons include amazing cast and interesting concept with religious main premise. Morgan Freeman, Gwyneth Paltrow, Brad Pitt and one I won't mention because Fincher decided to kip him as a surprise all delivered amazing performance. How can you not like Freeman's relaxed and gentlemanly attitude (he loves books) as opposed to Pitt's sort of angry and action type character (he loves chase)? Do you think that people who commit deadly sins deserve to live? Of course you do, but this serial killer doesn't. He thinks that the world is better without them. Theologically speaking, deadly sins are called deadly because they have been identified as a root cause to other sins and separateness from God. As a result, one who commits one of those, shall find nothing but darkness in his life and will eventually loose capacity to be happy. If one doesn't want to end like that (spiritual death) one has to firstly turn away from his sin, ask God for forgiveness and then expiate his sin. This serial killer is not merciful. He positions himself as a god who doesn't forgive or give chances to turn away from them. Since spiritual death is a final result from consistently committing deadly sins, this serial killer delivers physical death by murdering his victims in a way that particular sin harms them. He had given himself a right to deliver justice; but justice without love becomes cruel.After this short theological reflection let me now turn my attention to detectives Somerset (Freeman) and Mills (Pitt). As I mentioned earlier, they stand opposed but somehow complement each other. Together they discover frightening and bizarre murders and react in a way specific to them. This is important when you consider the ending. Everybody knows Se7en has one the most shocking ending ever made (other being Requiem For a Dream). Since committing deadly sins influences character as well (not only spirit), carefully watching both detectives actions ads to your understanding of Se7en. This movie is not about chase or little evidences analyzed by technology; it's about seeing people behind the mask, the way we truly are. That's at least what I think.So why did I give Se7en a symbolic seven? I don't have any particular reason. Se7en just lacks that something some other movies have. Apart from being shocking, it didn't stick with me. It's predictable as well, but it seems to me that Fincher decided to make it that way on purpose. We know what is going to happen and that gives us more ""space"" to focus our attention on characters and the way they'll react and not on story itself. Soundtrack could be somewhat better as well. Se7en also lacks that noir feeling that would've made it better.So to conclude: Se7en is a shocking and cleverly made movie with great cast. Underneath the hub is a lot of material for reflection about human nature. Those of you more philosophically oriented are surely going to enjoy this one or should I say seven.","
            7/10
            "
"thesouthfamily2-552-707097","31 January 2014","""Seven,"" a dark, grisly, horrifying and intelligent thriller, may be too disturbing for many people, I imagine, although if you can bear to watch, it you will see filmmaking of a high order. It tells the story of two detectives - one ready to retire, the other at the start of his career - and their attempts to capture a perverted serial killer who is using the Seven Deadly Sins as his scenario.The look of ""Seven"" is crucial to its effect. This is a very dark film, the gloom often penetrated only by the flashlights of the detectives. Even when all the lights are turned on in the apartments of the victims, they cast only wan, hopeless pools of light.The enigma of Somerset's character is at the heart of the film, and this is one of Morgan Freeman's best performances. He embodies authority naturally; I can't recall him ever playing a weak man. Here he knows all the lessons a cop might internalize during years spent in what we learn is one of the worst districts of the city. He lives alone, in what looks like a rented apartment, bookshelves on the walls. He puts himself to sleep with a metronome. He never married, although he came close once. He is a lonely man who confronts life with resigned detachment.""Seven"" is not really a very deep or profound film, but it provides the convincing illusion of one. Almost all mainstream thrillers seek first to provide entertainment; this one intends to fascinate and appall. The killer obviously intends his elaborate murders as moral statement. He suggests as much after we meet him. When he's told his crimes will soon be forgotten in the daily rush of cruelty, he insists they will be remembered forever. They are his masterpiece. What goes unexplained is how, exactly, he is making a statement. His victims, presumably guilty of their sins, have been convicted and executed by his actions. What's the lesson? Let that be a warning to us?The killer, as I said, turns himself in with 30 minutes to go, and dominates the film from that point forward. When ""Seven"" was released in 1995 the ads, posters and opening credits didn't mention the name of the actor, and although you may well know it, I don't think I will either. This actor has a big assignment. He embodies Evil. Like Hannibal Lecter, his character must be played by a strong actor who projects not merely villainy but twisted psychological complexities. Observe his face. Smug. Self-satisfied. Listen to his voice. Intelligent. Analytical. Mark his composure and apparent fearlessness. The film essentially depends on him, and would go astray if the actor faltered. He doesn't.""Seven"" is unique in one detail of its construction; it brings the killer on screen with half an hour to go, and gives him a speaking role. Instead of being simply the quarry in a chase, he is revealed as a twisted but articulate antagonist, who has devised a horrible plan for concluding his sermon. (The actor playing the killer is not identified by name in the ads or opening credits, and so I will leave his identity as another of his surprises.) ""Seven"" is well-made in its details, and uncompromising in the way it presents the disturbing details of the crimes. It is certainly not for the young or the sensitive.","
            10/10
            "
"EthanBJones_03","9 January 2017","*I Will try not to use spoilers but will notify prior if I deem necessary for the reviewOverall: I challenge anyone to legitimately complain about this movies magic. It is a masterpiece and quite frankly one of the greatest movies ever made and easily the greatest serial killer movie ever made.Good: Incredible and jaw dropping cinematography and sound design with each shot drumming up suspense and tension for the climax. Brad Pitt, Morgan Freeman and the mad genius who portrayed the serial killer(I won't spoil if you have, for some reason, not witnessed this masterpiece). The characters were so rich with detail and purpose that I cared about them from the offset and throughout. An absolutely genius story with a genius ending that should go down with the greats in cinema history. The villain is just plain genius and naming him John Doe just adds so much mystery and intrigue behind him that presents him as a faceless character with I think is perfect. Whoever conceived the idea of the seven deadly sins should be awarded an Oscar... then locked away for the rest of their lives in an asylum for coming up with the sick events in this movie. Then again if they weren't clearly sick, we wouldn't have this masterpiece here now, would we? The gritty and dark tone is just wondrous and the presentation of the city and gritty and grim just makes it too a faceless representation so it could be anywhere. I have watched this movie multiple times and I still feel shocked and my skin goes cold when that ending arrives. Truly a cinematic masterpiece. Well done Fincher!*My Flaw is a spoiler to some extent so I wouldn't read this if you haven't watched the movie.Bad: I have one flaw with this movie and that is the bit after the ending. Once Brad Pitt kills Kevin Spacey enacting Wrath, I feel it should have just cut to black and I feel the quote at the end from Morgan Freeman was misplaced and shouldn't have been in the movie. It should have cut to black.*SPOILERS!!!!!Best Part: 'WHAT'S IN THE BOX!!!!!!!!'MVP: Kevin Spacey as John Doe10/10","
            10/10
            "
"gastgast","6 April 2020","Good Movie and entertaining plot twist.
But nothing special.","
            7/10
            "
"jameslinton-75252","18 April 2016","Anyone else think that Kevin Spacey is being type-cast as psychopathic serial killers? It's only because he's so damn good at playing them.Se7en is no exception. In this film, he plays the unnamed serial killer who kills people in conjunction with the seven deadly sins. His portrayal of the serial killer is chilling, unnerving and powerful. Se7en delves well into his backstory and fleshes him out as a character.Although I did think the film was a little anti-climactic in terms of its scariness. I expected a crime thriller to be gorier than this and I was disappointed when it wasn't, but this is more of a minor criticism.Read my full review here: http://goo.gl/04bo6s","
            8/10
            "
"bevo-13678","29 March 2020","I like the bit where he says ""what's in the box, what's in the box""","
            10/10
            "
"duncannoella","24 August 2023","I really liked it suprisingly. Seeing it is not the type of genre I would normally watch and that I generally like but this film was really well done. It has a gripping and interesting storyline. I think the whole plot around the seven capital sins was really ingenious and made the story great. I love the beautiful dark cinematography and the screenplay is really intelligent. To add on top of that great performances from Morgan Freeman playing the detective and Brad Pitt as Mills. I also like how the film talks about a lot of murders but really not much is shown. Overall a disturbing yet really good film.","
            8/10
            "
"prvteye-1","3 August 2004","I won't bother with spoilers, as there are plenty of them in the other comments.When all was said and done, my wife and I looked at each other and said ""This is the scariest movie ever?""What I saw was a run-of-the-mill ""insane killer gets tracked down by the older, smart cop and the younger, gung-ho cop while manipulating everybody in the process"". Perhaps I've become jaded, but I found nothing here that was particularly scary or mind-bending. A clever nut-job leads the police on a mad chase, punishing people as ""sinners"". The only difference between this and a half-dozen other serial killer movies is the theme of the killings and the fact that the killer turns himself in 3/4's of the way into the story.This leads to the ""twist"" ending that seems to remain with so many people. I didn't find the ""twist"" horrific, though. I simply found it jarring. It didn't fit and it didn't particularly surprise me either. Once the killer decided to let Mills live, you knew he was going to mess with him somehow. The only surprise is the degree of what he did. As far as I'm concerned, they could have dispensed with the whole ""wrath"" setup and ended with John Doe's words to Mills - ""You're only sitting here because I ALLOWED you to live and you'll know that every time you look in the mirror.""Instead, they had to go for a ""shocker"" ending. This is the ""twist"" ending that supposedly makes the movie.Here's the thing, though - The ending doesn't fit the killer's MO. We're given every reason to believe that John Doe is clever, capable, and highly intelligent. He's on a mission. He believes in his mission. He punishes the guilty for their sins, not the innocent. Why, then, does he pick a completely innocent stranger and use her as a vehicle to brand himself as personification of Envy? If he really was envious of Mills (a fact that is highly doubtful), he was already deserving of punishment so why kill an innocent person to make the point? How does the manipulation of Mills into becoming Wrath actually punish Mills for having committed the sin of Wrath?None of these things make any logical sense within the framework of the story. The ending is completely out of synch with everything we've learned about the killer, including his own statements. All you can do is shrug your shoulders and say ""Well, you can't expect an insane killer to be logical."" and that just doesn't sit right with me. Not after the buildup we were given concerning John Doe.I can't recommend this movie. If you want to see a taut, disturbing film in this style (sans the insane serial killer) then rent ""8 Millimeter"" instead.","
            5/10
            "
"richardtownsley-19550","16 June 2020","Se7en remains one of the most disturbing movies I have ever watched. Unlike many other movies made during and since its release, Se7en refrains from gore and somehow becomes even more appalling because of it. Over time, general audiences have been desensitized to violence and gore. What may have been considered absolutely horrifying back in the 50s is nothing nowadays. So instead of showing the results of the crime, director David Fincher uses a somewhat Hitchcockian technique; by refraining to show the results of the horrible acts committed, and instead of revealing it through dialogue and acting, notably in the 'LUST' scene and 'SLOTH' scene, Fincher lets our brain do the heavy lifting and figure out what happened, and what it must have felt like. Fincher also goes out of his way to come up with the most disgusting ways a person can die, although some are admittedly tame. ('PRIDE' had it easy) The acting is incredible, featuring one of Morgan Freeman's best performances as an old, broken-down police detective, and Brad Pitt in one of his finest roles, and his acting skills are on display in his explosive acting during the finale. However, the best actor in this movie is the actor who plays John Doe. Observe his acting. Smug, self-satisfied, intelligent, analytical. His composure and fearlessness. The movie rests on this one actor to say every line perfectly. He does. His performance is just as affecting as Anthony Hopkin's in Silence of the Lambs. But the most impressive feat of all, David Fincher does something impossible: he makes the villain seem like a hero. It is hard to explain, but there are some villains that give us a glimpse into our deepest, subconscious desires. And that's terrifying. We all have parts of ourselves that we try to hide and pretend don't exist. These types of villains hold up a mirror and say, look. This is you. It's like watching a perverted car wreck that you can't look away from that hits you somewhere deep and hidden.","
            10/10
            "
"mdaadila","3 April 2022","It's a best thriller movie all time i love it.You should watch this movie both actors are playing their roll very well.Seven moulders are in these movie included.","
            10/10
            "
"leomcom","31 May 2022","Without a doubt the best mystery film of all time. The story and development of this film is just awesome and the ending is definitely one of the best of all time. Brad Pitt gives one of his best performances maybe his best and Morgan Freeman and Kevin Spacey are perfect too. I could watch it every day because it's just gorgeous. Definitely in my top 20 of all time!","
            10/10
            "
"Brazilian_Pharaoh","22 March 2017","Inspired by the Divine Comedy (there are other religious books that inspire the villain but i don't remember them), the psicopath John Doe (Kevi Spacey) tries to teach a sermon by torturing people based on one of the seven deadly sins they are accused of committing.This movie biggest sin (pun intended) is that only became a masterpiece that it is known only half way through it. The first hour is a generic detective movie with all the clichés: the two cops who are opposite from each other(Morgan Freeman and Brad Pitt), a murder mystery, etc.But aside from that, it's a great movie worth watching specially for the twist at the ending.","
            8/10
            "
"KingBrian1","9 March 2014","Seven is an extremely good crime thriller. Brad Pitt and Morgan Freeman are really good in this movie. The movie is really dark with many effective scenes in the movie. It is like the director is going out of his way to make the viewer queasy. All in all it is a good movie if a bit dark for my liking but the characters are good and the narrative is also worthy of respect. It is a blend of crime, horror and Thriller movies and shows and in some respects it is a foreshadow to the CSI series that now are all over TV.Great performance from Brad Pitt in this movie. The gritty feel of the movie is also very realistic.","
            7/10
            "
"Poptart_Psycho","12 November 2015","I arrived 20 years to late for the hype of this movie but that doesn't make it any different. One of my favourite thrillers. They don't make them like these anymore.. Realistic characters, an evil serial killer but not as much emphasis on gore more storyline.David Fincher did a class job, acting from Brad Pitt, Morgan Freeman, Gwyneth Paltrow and Kevin Spacey was beyond outstanding.Se7en follows detectives Somerset and Mill... Somerset is an older mature detective whos ready to retire whilst Mills is an energetic yet not as knowledgeable, we see more of Mill' private life with his wife Tracy.The movie kicks off after the murder of an obese man... suspicious but no motive the cops are at a standstill. That is until a wealthy lawyer gets killed and in blood 'Greed' is written. Knowing there is a serial killer on the loose its down to the detectives to hunt a man with an obsession with the deadly sins killing innocent people.The ending to this movie I like a lot, I wont give it away but it shows how sick and twisted minds of serial killers are.Se7en will surely stick in your mind","
            8/10
            "
"blueangel-76133","1 October 2019","Despite the presence of the surely very talented Freeman and Pitt, this early David Fincher film is, like his other early films such as Alien 3, marred by his strange artistic obsession with grime and filth (every location and even the look of the film is dirty, scummy and excessively grimy for no realistic reason). Having said this, in his more recent films, such as The Game (Sean Penn and Michael Douglas), Fincher has grown out of this style and made some excellent movies.","
            5/10
            "
"The_Amazing_Spy_Rises","12 November 2007","You really can't say enough about Se7en. It may have lacked critical acclaim (how this wasn't at least nominated for Best Director and Best Original Screenplay is beyond me), but this film is easily in the top 10 films of the 1990's, and one could argue that it is the best. Andrew Walker pens a marvelous script that is brilliantly realized by David Fincher, along with the help of 3 of the greatest actors of their generations.David Mills (Brad Pitt) is a young up and coming detective who's just been transferred. His partner is William Somerset (Morgan Freeman), who's on the verge of retirement. Different though they may be, they must track a serial killer who is choosing his victims according to the seven deadly sins (gluttony, sloth, greed, lust, pride, envy, and wrath).What makes Se7en so excellent in my mind is how incredibly real it is. There's the gritty feel to the film, and Fincher uses great shots and locations to effectively pass on his intentions to us. The film is one of the most suspenseful I've ever seen, and that is also attributed to Fincher, not to mention a wonderful musical score. Andrew Walker's script is fantastic. Easily one of the best of all time. It's such a simple concept, but the creation of the characters and the depth and development of each one is one truly remarkable quality of the script. The best quality of course, is the unpredictable, unorthodox, and scary ending that will make your stomach sink like a weight. The cinematography and editing are brilliant as the film is fluid and seamless. Technically, this film is perfect.The acting...well, anyone who's ever said Brad Pitt is for show obviously hasn't seen this or Fight Club. He's wonderful as the motivated, yet rash and sarcastic David Mills. It's a great character arc, and Pitt plays the complex character with heart and ease. Morgan Freeman...what can you say? He's Morgan Freeman, so he's excellent. Once again, a well written character that the actor takes and makes his own. Freeman is magnificent again.Of course, our 2 detectives are great, but the true stand out of the film is the actor who plays the killer, whose inclusion in the film was kept secret until the day of release. Don't worry, I haven't spoiled anything. He gives a magnificent, yet haunting and disturbing performance that will stick with you for day after day. It is one of the best villainous performances of all time. The final confrontation is spectacular because of him.All in all, Se7en is a must see if you are a movie fan. It's one of the best films I've ever seen, and you'd be a fool to miss this classic. As terrifying as it is suspenseful, Se7en is a thriller that will stick with you, an experience you'll never forget. I cannot recommend this movie more.10/10 --spy","
            10/10
            "
"moonwio","23 May 2005","This is an outstanding movie. Morgan Freeman and Kevin Spacey are pitch-perfect, and Brad Pitt is solid. Pitt actually had a lot to do with this movie's success outside of his acting. He forced the studio to keep the original ending, and he forced them to shell out the money to get Spacey. It is fortunate that he did, as those two elements are central to the movie's greatness. Spacey played the killer so chillingly that it makes his message seem all the more unnerving and, perhaps, correct. The uncompromising ending leaves the viewer shocked and reeling. This movie could not have worked without it. Outside of those obvious elements, another key to the film is Freeman's character. His outlook on life is and how it is affected by the murders and by his new partner is a key subplot the film. It brings more weight to the picture. Also, David Fincher's dark, dreary direction adds to the film, somewhat similar to the way Ridley Scott's dark vision adds to Blade Runner. The constant rain is a nice touch, especially when it ironically recedes after the killer shows up. I was never a Nine Inch Nails fan, but their dark brand of music fits this film well, as evidenced in the opening credits. Overall, I think this is one of the great films of all time. Watch it if you can handle grisly images and if you like unnerving endings.","
            9/10
            "
"justine-goodwin09","27 November 2013","I've watched this true masterpiece several times over the years,I have yet to watch a film that comes anywhere near it in terms of pure horror at the lengths humans will go to inflict pain on each other... The brilliance of this film is you don't see the acts been done,it's left to your own imagination. Brad Pitt,Morgan Freeman and Kevin Spacey are fantastically cast , the setting is wet and dark,( you never find out where the city is meant to be ).A Constant feeling of dread runs through this film which I can only say is an absolute must watch movie. Its is in my(and many others) opinion, probably one the best films ever made in the history of film making .. WATCH IT!","
            10/10
            "
"Finntroll","2 August 2004","David Fincher's breakthrough Se7en is one of few movies that deserves to be called a masterpiece. An incredibly dark movie (for mainstream that is) about cruelty and human depravity that hooks it's fangs into the viewers spine like a bloodthirsty beast and won't let go even after the movie's over. This is both very wellplayed and wellcrafted. Gwyneth Paltrow, Brad Pitt, Morgan Freeman and Kevin Spacey all do top-notch performances, the script is one of the strongest in years and the ending must be on of the best I've seen. It's strange that a movie that doesn't rely on shock effects can be this shocking. After I saw this I was amazed by the pure cleverness of it all and the way I felt. The depressing mood of it all is just perfect and it works wonderfully as a foundation on which this movie lies. Go see it now.10/10","
            9/10
            "
"BenjaminPopkin","30 March 2022","Se7en is a 1995 Crime/Thriller directed by David Fincher that stars Brad Pitt and Morgan Freeman as two homicide detectives on the hunt for a serial killer who is committing various dark and gruesome crimes based on the Seven Deadly Sins. This movie is very well filmed and tells a haunting yet realistic story. In the sense that there could be a serial killer who does things like this in real life, because nothing is too extraordinary in the film to the point where it's not possible; so, that's what makes the brutality of the crimes so impactful and horrific.The film has great direction by Fincher. The movie does a good job at keeping you interested throughout. It is written well and Brad Pitt and Morgan Freeman really bounced off one another. I was surprised with their chemistry on screen because I have never seen them together like this in a film before.The films aesthetic throughout the runtime is dark, gritty and filled with dread through the use of production design, composition, color and cinematography. The colors in the film were always murky. Stylistically the film is beautiful in a sick way with how Fincher manipulates what's on the screen and how it's on the screen. Although, there were times in the movie where I didn't even want to look at the screen, but there were also times where Fincher doesn't even need to show us and we still know something horrifc is on the other side by the way it is suggested through the mise-en-scene. (The Lust sin in particular). There is a clear vision that is being executed. However, the focus is not all on the violence, but on the setting and the people as well. The characters all have depth and they feel like real people that we have to spend time with. The scene with Pitt, Paltrow, and Freeman having dinner together is an example of one of these scenes we get that are character driven. The setting is constantly shown off through the mise-en-scene.Overall, I thought Se7en was an amazing movie. I thought it was written well. There were some great dialogue scenes in the middle of the movie as well as the end. The end was really good one of the best parts of the whole movie. The entire third act is pretty insane to be honest. It was very well written and executed; totally had me on the edge of my seat the whole time. The cinematography, writing, acting, and direction were all very well done. The film was disturbing and gritty yet in a way very real which makes it all the more shocking and the climax is one of the best I have seen in a while. I really liked it and I recommend checking it out especially if you're into darker movies.","
            9/10
            "
"BA_Harrison","11 February 2012","I consider David Fincher's Seven to be a precursor/forerunner of the 'torture porn' phenomenon—more specifically, the Saw movies: it utilises the grunge aesthetic that has become synonymous with such films, features a self-righteous villain who delights in playing gruesome games, revels in the extreme nature of its victims' suffering, and delivers an uncompromising and rather preposterous finale that is designed to hit like a kick to the gut.However, despite being the impetus for what has become one the most over-saturated and tiresome of sub-genres (as well as that irritating trend of replacing letters in a title with numbers), I don't resent Fincher's film one bit: it's just too good to hold a grudge against—a masterpiece of the macabre that admittedly requires a little suspension of disbelief to be truly effective, but which is so well crafted and so horrific that to do so is both easy and worthwhile.Fincher is able to successfully brush off the debacle that was Alien 3 and prove himself to be the accomplished movie-maker that many suspected him to be. Without studio interference, he successfully delivers his vision—a visually stunning chiller that delivers thrills, chills, grisly horror aplenty, without resorting to cheap scares or overtly explicit gore. Despite its gruesome subject matter, Se7en doesn't rely on relentless splatter to shock: the mere suggestion of what has occurred possesses the power to repel, with brief glimpses of the murder victims' corpses offering just enough grisly detail to satisfy the viewer's morbid curiosity.An ingenious script from Andrew Kevin Walker, impeccable performances from its amazing cast (including a particularly outstanding performance from Kevin Spacey), and what what has to be one of most harrowing and unsettling endings in cinema, all adds up to one hell of a fine movie.","
            1/10
            "
"Bill-276","26 February 2011","I can't remember the last movie I saw that was this full of crap. How did they convince that cast this story would be anything other than the ""t-shirt""/""movie of the week"" Brad Pitt's character said it was going to be? The performances were fine (particularly Freeman's and Spacey's). The script, however, was a travesty.First, the consistency of the killings is completely muddled. The first five murders were committed by Spacey's character (""John Doe""--how original) because of what he perceives to be the sins committed by those he's killed. OK so far. The 6th murder (of Paltrow's character) is also done by Doe, but not because of a sin she's committed, rather because of the sin Doe perceives HE has committed. Got that? And the 7th murder is done by Pitt's character to Doe because of the sin Mills (Pitt) carries with him (I guess?). But even if you link the ""Envy"" murder of Doe by Mills as one of the 7 sinners who ""deserved"" to be killed for their sin, why was Paltrow's character killed again? And along with that, why does Pitt's character get to live for the sin of Wrath? Another plot point that I don't think can be overlooked... If Doe was the religious lunatic he was presented to be, the murder of Paltrow's character and her unborn child would surely have been the 6th AND 7th murders. Doe was aware she's pregnant. Of course, how do you link an unborn child with a deadly sin? I see the writer's problem. His solution was a train wreck.I also didn't buy at all that Doe was actually envious of Pitt's character. It made for a quirky plot twist, but it seemed so inconsistent for that character. It also didn't make much sense from a plot perspective (see paragraph above).Have I got to 7 things yet? Did I mention the silly 7 in the title? How about the constant allusions to Somerset's knife, the knife tossing, etc... which turns out to be needed most in the film to open a box? I guess if you make the assumption that John Doe is insane, then this master plan might make sense to the audience: He's insane, his plan probably shouldn't make sense. But to think that his plan worked, succeeded, was effective or even consistent at all (as Somerset's character implies by telling Mills not to kill Doe and fulfill Doe's plan), is giving WAY to much credit to the writer, and almost no credit to the audience. I recently saw and reviewed Michael Haneke's ""Funny Games"" which would fall into the same psychological/horror/thriller genre as ""Se7en"". And as much as I was affected by ""Funny Games"" and impressed by Haneke's vision and direction, I said that I couldn't responsibly recommend it. After seeing ""Se7en"", however, I finally found Haneke's target audience. If ""Se7en"" is on your recommended must-see list, then ""Funny Games"" is really the must-see movie for you.","
            10/10
            "
"scarlettimogen","12 December 2019","An absolute masterpiece.....simple as that.......absolutely the best film I've ever seen","
            10/10
            "
"billion_mucks","30 November 2007","What is the most simple way to present the Human's dark side? The answer is by sins: Sins that from the Fifth Century announce Man's most awful deviations from God.This movie isn't catholic yet, nor does it have an approach: it's impressively dark and violently grim. From the first start, the characters are presented surrounded by a whispering, sad rain. The mood is also set with dampened colors and grayish tones. Nobody ever smiles in the film, they laugh for few seconds when united in a dinner. But throughout the story, Detective Mills (Pitt) and Detective Somerset (Freeman) will set up on a case that is horrendous and enigmatic: a serial killer roams the city with the Capital Sins as basis to create his assassinations. He preaches, according to Somerset. Mills isn't accustomed to the following Odyssey, he is yet not aware of the fatal obscurity of the Human Mind. Somerset is about to retire, and he knows what he deals with his job, Morgan Freeman with his tired eyes show you everything the character has seen among his trail.As the play is opened; the killer behind the murders shows to be analytical and intelligent and he isn't afraid of people chasing him: he just introduces him to his ultimate ""work"". He plays with them. He presents a puzzle for them to solve as he is in total control. Kevin Spacey will surprise everyone with his psychotic demeanor and his empty gestures, showing spiritual deprivation.""Se7en"" is likely not for everyone. It is intended to expose the Dark, Twisted side of mankind, engulfed by a series of morbidly well thought murders. Actings are stupendous, all variating from a negative panoply: depicting Sadness, Anger, Worry superbly. Nothing is cheerful, nothing is lightning and warming. The movie shows you perfectly what man is all about on their obscure range. It is shattering, it is demanding. But it is one of the most excellent experiences on nowadays cinema.","
            10/10
            "
"zhivago97","4 August 2022","Kevin Spacey plays John Doe, a misunderstood but well meaning community leader who does good deeds in dirty New York City. His goal is to help people. Brad Pitt and Morgan Freeman are two bumbling detectives who add a comic element. Gwyneth Paltrow plays a depressed wife who goes on a spiritual journey and ends up in a better place with some help.Overall the movie is upbeat and really points to how important it is for people like Kevin Spacey/John Doe to help others overcome their inner demons from obesity to laziness and other evils. His techniques are very effective! And he even does expert manicures! He is a multitalented saint.After watching this movie, anyone can become inspired to help those around them be better people.","
            10/10
            "
"m-burakyuksel-564-438070","17 May 2020","When I first saw the movie, I was too young to understand the movie. Many years later, I re-watched the film. It's really a much better production than any other film that's been made in those years. Morgan Freeman once again plays an old retired citizen. Ever since I was born, he's always been old.","
            8/10
            "
"ciscokid1970","8 September 2007","This movie is a cross between Silence of the lambs and Bone collector. There are some very clever investigation scenes and clever writing and set creation.This movie was a showcase for Kevin Spacey and Morgan Freeman. This movie had one of Morgan Freeman's best roles where he plays a educated, intelligent and experienced detective. Brad Pitt has a role but is not as impressive.This movie certainly had a new approach to police / horror movies. This movie and Silence of the lambs brought a whole new level of gore and horror to mystery movies. This is not a kid friendly movie and does not have a happy ending.","
            10/10
            "
"dave_472","20 June 2005","At first, I was a little hesitant about taking time out of my life to see Seven. I mean, I am a busy person... but this film was well worth my time... Perhaps the best Brad Pitt film that I have seen, this film involves two detectives (Pitt and Freeman) going after a delusional killer (Kevin Spacey) who murders his victims according to the seven deadly sins: gluttony, greed, lust, etc... Spacey takes pride in his killings and leaves clues for the police, similar to ""Son of Sam"" killer David Berkowitz when he murdered six women in New York City in the 1970's (""Summer of Sam""= another great film)... This was an intense thriller that had me on the edge of my seat from start to finish...Movies generally take a lot to keep me interested, and I am generally a fan of comedies and action flicks. But Seven was different.... it was a fantastic thriller that kept you thinking and waiting to see what happens as Pitt and Freeman chase down the barbaric killer who feels that he is doing ""God's deed""... This film is a must-see!! My only regret is that I had did not see it until 10 years after its theatrical release... Please feel free to email me with any questions or comments...","
            10/10
            "
"851222","11 October 2014","Greetings from Lithuania.""Se7en"" (1995) is a true masterpiece, and i don't use this word often, actually, i use it very rarely. This film blow me away from the first time i saw it, and i saw it many times after. It's always engaging from start till finish. This is one of the best stories ever told on screen. More of it, the story isn't that really important in this movie. What important is that you will feel your self in there, at the bottom of Dantes inferno, this is New York you won't see in advertising pictures.One of my favorite directors (and of the best ever) master David Fincher created an unforgettable piece of work. This film is must be seen to understand, what a real film is about, and it's not about the action. The ending of this film will leave you speechless.Overall, 10/10 for this motion picture, it's a true art, true cinematic tour De force, with images and characters you won't eve forget after witnessing ""Se7en"". A must watch.","
            10/10
            "
"raphaklopper","8 June 2013","Sin: 1-transgression of divine law; 2-any act Regarded to such a transgression, especially the willful or deliberate violation of some religious or moral principle; 3-to commit a sinful act. The Sins began the film and led to the end,but it was no sin making this film.""Se7en"", as you can see, it is about the seven deadly sins: Gluttony; Greed; Sloth; Lust; Pride or Vanity; Envy; Wrath. It all starts when the veteran Detective William Somerset (Morgan Freeman) and the rookie detective David Mills (Brad Pitt) are both faced with a line of murders, and every death there is a message written with one of the deadly sins. They begin to notice that the killer, who later discover is called John Doe (Kevin Spacey) uses all sins for a different kind of murder. Soon both detectives begin a long study and research behind the insane psychopath who will later lead them to an unexpected end.With ""Se7en"" David Fincher showed the fantastic director that he can be. He went from hated (thanks to ""Alien 3"") to a true filmmaker giving a spectacular direction. Each scene is shot accurately making the film more tense and the investigation more thrilling. But it also gives credits to Andrew Kevin Walker (screenplay) with a superb writing delivering dialogs very well written and developed, and an insane study in each of the sins, but even with the gloomy environment, the movie manages to have humor that pretty much serves to calm the frantic pace.The cast is just wonderful. Morgan Freeman superb as always; Brad Pitt once again great; but who stands out is Kevin Spacey, after his appearance everything in the film seems to have a relapse, the suspense increases, the atmosphere darkens, all thanks to its whimsical and cultured expression of ""serial killer"".An electrifying thriller, well directed and written, loaded with stunning performances, leading to an unexpected ending. ""Se7en"" is the film that brought David Fincher to filmmaking life and to the world his fantastic films.","
            4/10
            "
